country,year,enep,enpp,eneth,enrelig,plargest,pop,relhomo,medmag,upper,magmedl,enlang,pres,upp,enpres,elapsed,lml,proximty,enpvuppr,enpvlml,lmleneth,proxpres,smd
DOMINICA,1985,2.1044,1.7583,1.6784,1.2195,71,79,.65,1,0,1,1.72,0,0,,,0,0,0,0,0,0,1
STLUCIA,1987,2.3203,1.9933,1.2202,1.2258,90,145,.76,1,0,1,1.11,0,0,,,0,0,0,0,0,0,1
UK,1983,3.1166,2.0907,1.4804,1.6528,94,47320,.51,1,0,1,1.15,0,0,,,0,0,0,0,0,0,1
JAMAICA,1989,1.9691,1.6,1.6465,2.1276595745,76,2407,.47,1,0,1,1.79,0,0,,,0,0,0,0,0,0,1
INDIA,1984,3.98,1.69,1.7188,1.436,40,778530,.7,1,0,1,9.09,0,0,,,0,0,0,0,0,0,1
CANADA,1984,2.7477,1.6923,3.4922,3.0713,61,25880,.39,1,0,1,2.33,0,0,,,0,0,0,0,0,0,1
BELIZE,1984,2.0554,1.6,3.4625,1.9231,40,178,.47,1,0,1,2.7,0,0,,,0,0,0,0,0,0,1
USA,1984,2.026,1.948,1.3554,2.2604,83,245560,.4,1,0,1,1.27,1.1,0,1.958,0,0,1,0,0,0,1.958,1
TRINIDADTOBAG,1986,1.8444,1.1796,2.7412,3.9715,41,1257,.27,1,0,1,1,0,0,,,0,0,0,0,0,0,1
STKITTSNEVIS,1984,2.4545,2.4644,1.2157,2.9411764706,90,46,.34,1,0,1,1,0,0,,,0,0,0,0,0,0,1
STVINCENTGREN,1984,2.282,1.743,1.6562,3.05,75,113,.27,1,0,1,,0,0,,,0,0,0,0,0,0,1
GRENADA,1990,3.8438,3.0792,1.063,1.93,97,106,.48,1,0,1,1.08,0,0,,,0,0,0,0,0,0,1
BARBADOS,1986,1.9333,1.2459,1.4988,1.8918,92,254,.34,1,0,1,1.19,0,0,,,0,0,0,0,0,0,1
KOREA,1988,4.2208,3.5562,1,,99,42590,.25,1,1,1,1,1.1,.25,3.5537,.0667,0,.87,1.0552,0,0,3.091719,1
FRANCE,1981,4.13,2.68,1.1726,1.2282,92,55860,.6,1,0,1,1.32,1.2,0,4.864,.019,0,.96,0,0,0,4.66944,1
BAHAMAS,1987,2.1105,1.9635,1.3423,3.9526,70,240,.36,1,0,1,1.37,0,0,,,0,0,0,0,0,0,1
NEWZEALAND,1984,2.9873,1.9838,1.2769,1.4522,90,3350,.19,1,0,1,1.15,0,0,,,0,0,0,0,0,0,1
GERMANY,1983,3.2141,3.1568,1.1496895838,2.4498,93,77380,.43,1,1,1,1.16,0,.49799,,,0,0,1.600589659,0,0,0,1
BOTSWANA,1984,1.9624,1.347,1.106,2,34,1220,.49,1,0,1,1.69,0,0,,,0,0,0,0,0,0,1
AUSTRALIA,1984,2.7911,2.3838,1.106,3.9926,96,16470,.18,1,0,1,1.27,0,0,,,0,0,0,0,0,0,1
GAMBIA,1987,2.391,1.3147,3.9339,1.2222,43,811,.91,1,0,1,4.17,,,,,0,,,0,0,0,1
