timeindx,date,app,applag,bago,bfut,dde,events,ghb,grf,ighb,ighb2,igrf,igrf2,ijec,ijec2,ijfk,ijfk2,ilbj,ilbj2,irmn,irmn2,irwr,irwr2,jec,jfk,lbj,pago,pexp,rmn,rwr,viet,gulfwar,repub,obs_no
1954,1954.1,68,,68,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,122,0,0,0,0,1,1
1954.25,1954.2,64,68,68,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,122,0,0,0,0,1,2
1954.5,1954.3,67,64,74,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,121,0,0,0,0,1,3
1954.75,1954.4,62,67,79,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,120,0,0,0,0,1,4
1955,1955.1,70,62,105,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,126,0,0,0,0,1,5
1955.25,1955.2,69,70,130,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,131,0,0,0,0,1,6
1955.5,1955.3,74,69,133,130,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,131,0,0,0,0,1,7
1955.75,1955.4,76,74,136,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,131,0,0,0,0,1,8
1956,1956.1,75,76,125,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,126,0,0,0,0,1,9
1956.25,1956.2,69,75,115,138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,120,0,0,0,0,1,10
1956.5,1956.3,69,69,107,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,129,0,0,0,0,1,11
1956.75,1956.4,76,69,115,138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,126,0,0,0,0,1,12
1957,1957.1,72,76,105,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,126,0,0,0,0,1,13
1957.25,1957.2,64,72,96,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,125,0,0,0,0,1,14
1957.5,1957.3,61,64,84,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,122,0,0,0,0,1,15
1957.75,1957.4,58,61,72,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,119,0,0,0,0,1,16
1958,1958.1,54,58,55,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,120,0,0,0,0,1,17
1958.25,1958.2,54,54,39,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,120,0,0,0,0,1,18
1958.5,1958.3,54,54,73,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,122,0,0,0,0,1,19
1958.75,1958.4,56,54,107,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,124,0,0,0,0,1,20
1959,1959.1,58,56,93,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,127,0,0,0,0,1,21
1959.25,1959.2,62,58,134,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,129,0,0,0,0,1,22
1959.5,1959.3,64,62,117,117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,129,0,0,0,0,1,23
1959.75,1959.4,67,64,101,118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,128,0,0,0,0,1,24
1960,1960.1,65,67,126,117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,134,0,0,0,0,1,25
1960.25,1960.2,63,65,113,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,129,0,0,0,0,1,26
1960.5,1960.3,56,63,99,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,133,0,0,0,0,1,27
1960.75,1960.4,59,56,84,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,126,0,0,0,0,1,28
1961,1961.1,72,59,58,113,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,102,132,0,0,0,0,0,29
1961.25,1961.2,75,72,94,114,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,105,131,0,0,0,0,0,30
1961.5,1961.3,76,75,132,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,116,130,0,0,0,0,0,31
1961.75,1961.4,78,76,127,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109,128,0,0,0,0,0,32
1962,1962.1,78,78,137,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,110,133,0,0,0,0,0,33
1962.25,1962.2,74,78,127,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,112,132,0,0,0,0,0,34
1962.5,1962.3,65,74,113,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109,128,0,0,0,0,0,35
1962.75,1962.4,70,65,124,114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,116,129,0,0,0,0,0,36
1963,1963.1,70,70,124,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,116,136,0,0,0,0,0,37
1963.25,1963.2,64,70,119,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,114,128,0,0,0,0,0,38
1963.5,1963.3,60,64,122,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,113,127,0,0,0,0,0,39
1963.75,1963.4,65,60,126,117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,114,126,0,0,0,0,0,40
1964,1964.1,77,65,128,117,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,114,130,0,0,0,0,0,41
1964.25,1964.2,75,77,127,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,130,0,0,0,0,0,42
1964.5,1964.3,72,75,129,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,133,140,0,0,0,0,0,43
1964.75,1964.4,69,72,131,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,132,141,0,0,0,0,0,44
1965,1965.1,69,69,132,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,118,132,0,0,4.3174901,0,0,45
1965.25,1965.2,68,69,137,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,138,134,0,0,5.3845,0,0,46
1965.5,1965.3,64,68,141,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,135,0,0,6.1612101,0,0,47
1965.75,1965.4,64,64,147,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,135,0,0,7.2100801,0,0,48
1966,1966.1,58,64,150,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,131,0,0,7.85671,0,0,49
1966.25,1966.2,50,58,129,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115,122,0,0,8.2571297,0,0,50
1966.5,1966.3,50,50,126,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,108,121,0,0,8.53267,0,0,51
1966.75,1966.4,45,50,114,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,120,0,0,8.7482996,0,0,52
