ObsNum,ctry,avgcov,cbi,cwb,inf,ue,country,CtryName,lcab,lrgdpc
1,1,.2353816,.75044298,0,4.4055562,5.76125,US,U.S.A.,0,9.4285812
2,2,.3134118,.409401,.80000001,4.4194441,1.969375,JA,Japan,0,8.4937201
3,3,.35676199,.93143803,.69999999,3.675,3.1275001,GE,Germany,.286466,8.9242487
4,4,.2144421,.42954201,.5,6.625,4.1597919,FR,France,.17003401,8.9132681
5,5,.3787939,.36510399,.25,8.6166668,5.5758328,IT,Italy,.18147101,8.7179041
6,6,.48715121,.4196845,0,7.3694439,4.8808331,UK,U.K.,.32478601,8.9488134
7,7,.30160969,.61414099,0,5.061111,6.4272919,CA,Canada,0,9.2456417
8,8,.61289507,.65371501,1,4.3888888,2.1841669,AU,Austria,.647457,8.7091322
9,9,.65136749,.40916699,.5,4.4611111,5.4806252,BE,Belgium,.240871,8.8773232
10,10,.69186318,.52997899,.75,6.6527781,4.8529172,DE,Denmark,.63484102,8.9407091
11,11,.4889583,.492917,.75,7.6555562,3.0983329,FI,Finland,.39054,8.7817068
12,12,.35499999,.33838549,0,14.71,4.5166669,GR,Greece,.183761,8.0509624
13,13,.51417649,.461979,0,8,8.0974998,IR,Ireland,.092921004,8.3749561
14,14,.36708379,.56403601,.60000002,4.7805562,4.2668748,NE,Netherlands,.15849701,8.9087257
15,15,.62257338,.2297655,1,5.7638888,2.234375,NO,Norway,.72008502,8.9565544
16,16,.60770798,.166667,.25,16.235001,4.75,PO,Portugal,.100468,7.8532181
17,17,.2173927,.19944,.125,9.7416668,6.6925001,SP,Spain,.153846,8.3813982
18,18,.7584818,.302917,1,6.730556,1.729167,SW,Sweden,.84615397,9.0295801
19,19,.32429171,.84382826,.80000001,4.105556,.88895798,SZ,Switzerland,.227717,9.3241053
20,20,.52148789,.47377101,.125,6.605556,3.9529171,AL,Australia,.222222,9.1038361
21,21,.58068269,.14288425,.25,7.8833332,1.341042,NZ,New Zealand,.26709399,8.9734058
