votes,party,female,black,inc,redist,east,midwest,south,west
15.5,0,0,0,5.7639999,54.700001,0,0,1,0
4.5,0,0,0,5.7140002,53.200001,0,0,1,0
11,1,0,0,5.2199998,54.5,0,0,1,0
24,1,0,0,5.493,55.700001,0,0,1,0
18,1,0,0,6.3439999,57.200001,0,0,1,0
31.5,0,0,0,7.3200002,54.299999,0,0,1,0
16,0,0,0,10.193,56.900002,0,0,0,1
22.5,0,0,0,7.0219998,46.700001,0,0,0,1
78.5,1,0,0,6.8720002,48.099998,0,0,0,1
2.5,1,0,0,6.5089998,47.700001,0,0,0,1
2,0,0,0,7.7979999,47.799999,0,0,0,1
42,1,0,0,4.8720002,55.799999,0,0,1,0
11,0,0,0,5.71,53.799999,0,0,1,0
65,1,0,0,6.9029999,54.900002,0,0,0,1
10.5,0,0,0,7.6479998,51.400002,0,0,0,1
83.5,1,0,0,11.256,49.299999,0,0,0,1
95.5,1,0,0,8.6960001,47.700001,0,0,0,1
89.5,1,0,0,9.1940002,49.799999,0,0,0,1
93.5,1,0,1,9.8299999,49.799999,0,0,0,1
89,1,0,0,8.4639997,48.900002,0,0,0,1
88,1,0,0,7.993,49.099998,0,0,0,1
66.5,0,0,0,11.216,47.799999,0,0,0,1
88,1,0,0,9.5649996,48.299999,0,0,0,1
50,1,0,0,7.579,50.799999,0,0,0,1
4.5,0,0,0,7.8340001,48.5,0,0,0,1
2.5,0,0,0,9.9040003,48.700001,0,0,0,1
83,1,0,0,7.954,48.299999,0,0,0,1
2.5,0,0,0,9.5469999,47.200001,0,0,0,1
86,1,0,0,15.088,54,0,0,0,1
88.5,1,0,0,8.8859997,49.700001,0,0,0,1
85,1,0,0,4.6069999,48.099998,0,0,0,1
2.5,0,0,0,8.6540003,46.900002,0,0,0,1
6.5,0,0,0,12.908,50.299999,0,0,0,1
79.5,1,0,0,4.2789998,50.5,0,0,0,1
78,1,0,0,5.7779999,47.400002,0,0,0,1
45,1,0,0,6.0799999,47.799999,0,0,0,1
59.5,1,0,0,7.1609998,47.400002,0,0,0,1
53.5,1,0,0,7.8000002,47.700001,0,0,0,1
81,1,0,0,6.7610002,50.200001,0,0,0,1
68,1,0,0,7.5619998,46.900002,0,0,0,1
5,0,0,0,10.415,48.299999,0,0,0,1
21,0,0,0,8.9519997,49.400002,0,0,0,1
80,1,0,0,6.197,50,0,0,0,1
11,0,0,0,8.3800001,49.700001,0,0,0,1
74,1,1,0,8.9779997,47,0,0,0,1
63.5,1,0,0,8.8620005,47.299999,0,0,0,1
29,0,0,0,7.4000001,47,0,0,0,1
61,1,0,0,8.3649998,57.299999,1,0,0,0
86,1,0,0,7.2930002,58.099998,1,0,0,0
58.5,1,0,0,7.8800001,58.900002,1,0,0,0
64.5,0,0,0,10.427,60,1,0,0,0
89.5,1,0,0,8.3870001,57.900002,1,0,0,0
19.5,0,0,0,7.4489999,59.5,1,0,0,0
31,1,0,0,5.6220002,51.799999,0,0,1,0
22.5,1,0,0,6.2649999,53.5,0,0,1,0
10.5,1,0,0,6.776,53.200001,0,0,1,0
2.5,0,0,0,6.7529998,52.400002,0,0,1,0
8.5,0,0,0,7.4899998,51.799999,0,0,1,0
21.5,1,0,0,6.8660002,53,0,0,1,0
21,1,0,0,6.947,51.900002,0,0,1,0
5,0,0,0,7.526,51.799999,0,0,1,0
84,1,0,0,7.2480001,52.5,0,0,1,0
69,1,0,0,7.1259999,52.599998,0,0,1,0
74,1,0,0,8.7370005,53.400002,0,0,1,0
28.5,1,0,0,5.6160002,53.5,0,0,1,0
11.5,1,0,0,5.204,52.099998,0,0,1,0
22.5,1,0,0,5.737,54.700001,0,0,1,0
27.5,1,0,0,8.1630001,53.200001,0,0,1,0
54.5,1,0,0,8.0790005,54.599998,0,0,1,0
7.5,1,0,0,7.1739998,54,0,0,1,0
25,1,0,0,5.3889999,53.099998,0,0,1,0
16,1,0,0,6.4429998,52.799999,0,0,1,0
17.5,1,0,0,5.6420002,53,0,0,1,0
60,1,0,0,8.7609997,44.5,0,0,0,1
74,1,0,0,7.033,44.900002,0,0,0,1
7,0,0,0,6.4359999,52.400002,0,0,0,1
4.5,0,0,0,6.0419998,47,0,0,0,1
66,1,0,0,6.2069998,65.199997,0,1,0,0
42.5,1,0,0,8.5740004,61,0,1,0,0
21,0,0,0,9.3780003,60.400002,0,1,0,0
59,1,0,0,6.0320001,62.799999,0,1,0,0
20,0,0,0,8.96,59.400002,0,1,0,0
75.5,1,1,1,5.4749999,67.099998,0,1,0,0
64.5,1,0,0,5.7049999,63.599998,0,1,0,0
96.5,1,0,0,10.084,61,0,1,0,0
80.5,1,0,0,12.956,60.599998,0,1,0,0
59,1,0,0,8.4560003,59.099998,0,1,0,0
2.5,0,0,0,10.921,60.400002,0,1,0,0
36,0,0,0,8.6029997,60.900002,0,1,0,0
30.5,0,0,0,10.514,59.900002,0,1,0,0
18.5,0,0,0,7.8439999,61.099998,0,1,0,0
55.5,0,0,0,7.7309999,60.599998,0,1,0,0
24,0,0,0,7.6160002,62.5,0,1,0,0
20,0,0,0,7.9359999,61.799999,0,1,0,0
32,0,0,0,7.4780002,60.5,0,1,0,0
28,0,0,0,7.2509999,61,0,1,0,0
25,0,0,0,7.5970001,59.900002,0,1,0,0
61,1,0,0,6.8249998,63.400002,0,1,0,0
77.5,1,0,0,6.4000001,63.400002,0,1,0,0
71.5,1,0,0,7.5580001,64.5,0,1,0,0
33.5,1,0,0,7.4169998,60.5,0,1,0,0
86.5,1,0,0,7.2859998,62,0,1,0,0
17,0,0,0,7.2550001,62.200001,0,1,0,0
20.5,0,0,0,7.7129998,64.5,0,1,0,0
31,1,0,0,7.3850002,60,0,1,0,0
14.5,0,0,0,6.5510001,59.299999,0,1,0,0
52,1,0,0,6.4310002,62.700001,0,1,0,0
62,1,0,0,6.6789999,63.299999,0,1,0,0
45.5,1,0,0,7.6609998,60.700001,0,1,0,0
36,0,0,0,7.447,58.099998,0,1,0,0
6,0,0,0,7.164,58.299999,0,1,0,0
74.5,1,0,0,7.6149998,58.5,0,1,0,0
67,1,0,0,6.6160002,56.799999,0,1,0,0
74,1,0,0,6.836,57.299999,0,1,0,0
14.5,0,0,0,6.717,53.599998,0,1,0,0
11,0,0,0,8.698,58.799999,0,1,0,0
51,1,0,0,7.836,56.400002,0,1,0,0
21,1,0,0,6.0029998,57.700001,0,0,1,0
54.5,1,0,0,5.5900002,57.700001,0,0,1,0
54.5,1,0,0,6.3460002,57.599998,0,0,1,0
9.5,0,0,0,7.829,56.200001,0,0,1,0
27.5,0,0,0,4.4920001,59.299999,0,0,1,0
61,1,0,0,5.1209998,60.200001,0,0,1,0
9,0,0,0,6.664,53.599998,0,0,1,0
57,1,1,0,6.5739999,53.5,0,0,1,0
6.5,0,0,0,7.4590001,52.700001,0,0,1,0
18.5,1,0,0,5.2849998,53.799999,0,0,1,0
4.5,0,0,0,6.6830001,53.900002,0,0,1,0
9.5,1,0,0,6.757,53.099998,0,0,1,0
64.5,1,0,0,5.4499998,54.200001,0,0,1,0
28,0,1,0,6.198,58.900002,1,0,0,0
8.5,0,0,0,6.994,59.900002,1,0,0,0
51.5,1,0,0,9.2959995,60.200001,1,0,0,0
89,1,1,0,6.9169998,60.200001,1,0,0,0
10,0,1,0,8.5769997,58.599998,1,0,0,0
83,1,1,0,8.4630003,57.599998,1,0,0,0
25.5,1,0,0,7.7290001,58.099998,1,0,0,0
91,1,0,1,5.059,63.700001,1,0,0,0
89.5,0,0,0,12.554,60.099998,1,0,0,0
62,0,0,0,6.7030001,58.099998,1,0,0,0
67.5,1,0,0,6.6869998,57.799999,1,0,0,0
73.5,1,0,0,7.1820002,57.200001,1,0,0,0
94.5,1,0,0,9.3990002,57.900002,1,0,0,0
91.5,1,0,0,7.6669998,57.5,1,0,0,0
85.5,1,0,0,7.3740001,57.400002,1,0,0,0
66.5,0,1,0,7.1950002,58.5,1,0,0,0
94,1,0,0,7.1950002,59.299999,1,0,0,0
67,1,0,1,6.1409998,73.5,0,1,0,0
64.5,0,0,0,8.7860003,63.700001,0,1,0,0
33,0,0,0,7.5949998,62.099998,0,1,0,0
20,0,0,0,6.5630002,65.199997,0,1,0,0
23,0,0,0,7.355,61.200001,0,1,0,0
77,1,0,0,7.5289998,63,0,1,0,0
86.5,1,0,0,7.8889999,70.599998,0,1,0,0
62.5,1,0,0,6.9809999,69.099998,0,1,0,0
15.5,0,0,0,6.5440001,63.299999,0,1,0,0
15,0,0,0,6.2979999,65.800003,0,1,0,0
89.5,1,0,0,8.2519999,67.300003,0,1,0,0
